??????????????????????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
????????????,2548,,,,,,,,,,,,2549,,,,,,,,,,,,2550,,,,,,,,,,,,2551,,,,,,,,,,,,2552,,,,,,,,,,,,2553,,,,,,,,,,,,2554,,,,,,,,,,,,2555,,,,,,,,,,,,2556,,,,,,,,,,,,2557,,,,,,,,,,,,2558,,,,,,,,,,,,2559,,,,,,,,,,,,2560,,,,,,,,,,,,2561,,,,,,,,,,,,2562,,,,,,,,,,,,2563,,,,,,,,,,,,2564,,,,,,,,,,,,2565,,,,,,,,,,,,2566,,,,,,,,,,,,2567,,,,,,,,,,,,2568,,,,,,,,,,,
,?.?.,?.?.,??.?.,??.?.,?.?.,??.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,??.?.,??.?.,?.?.,??.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,??.?.,??.?.,?.?.,??.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,??.?.,??.?.,?.?.,??.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?., ?.?.,?.?.,??.?.,??.?.,?.?.,??.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,??.?.,??.?.,?.?.,??.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,??.?.,??.?.,?.?.,??.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,??.?.,??.?.,?.?.,??.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,??.?.,??.?.,?.?.,??.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,??.?.,??.?.,?.?.,??.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,??.?.,??.?.,?.?.,??.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,??.?.,??.?.,?.?.,??.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,??.?.,??.?.,?.?.,??.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,??.?.,??.?.,?.?.,??.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,??.?.,??.?.,?.?.,??.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,??.?.,??.?.,?.?.,??.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,??.?.,??.?.,?.?.,??.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,??.?.,??.?.,?.?.,??.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,??.?.,??.?.,?.?.,??.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,??.?.,??.?.,?.?.,??.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,??.?.,??.?.,?.?.,??.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.
 ??????????? ,59.40,77.64,109.44,115.44,138.24,133.80,121.44,112.32,101.64,94.44,73.44,62.76,57.17,103.57,171.30,180.60,175.08,130.53,125.62,138.30,141.29,151.05,128.89,107.34,115.60,110.48,135.52,130.19,121.85,104.02,122.91,137.02,150.43,161.39,137.88,105.50,136.90,185.74,227.27,210.05,250.88,213.50,198.82,191.90,191.27,166.91,133.13,117.36,129.42,139.41,198.93,193.45,168.98,152.53,164.28,179.35,194.04,177.20,129.62,130.79,149.98,180.77,233.66,214.32,211.75,202.48,179.98,158.87,142.88,119.99,99.27,79.53,86.85,124.43,197.86,211.90,250.59,255.28,252.01,225.59,242.33,265.76,259.19,209.23,220.18,200.01,163.02,174.47,194.85,207.42,235.86,254.85,279.57,281.79,261.41,240.08,256.81,235.23,204.90,179.51,222.85,233.29,257.36,276.95,271.70,285.03,280.58,278.49,192.59,220.75,331.28,341.27,384.27,317.05,264.36,239.53,230.44,210.15,153.22,143.23,209.34,226.89,286.96,306.58,278.33,245.32,231.94,228.97,237.30,245.62,266.73,209.64,157.25,191.03,275.40,302.53,285.18,238.50,214.09,213.47,238.92,224.47,243.14,213.55,180.46,212.74,350.42,354.37,309.60,239.09,220.05,236.69,289.80,338.78,370.96,364.23,349.66,351.97,364.42,344.06,311.69,290.19,257.29,240.71,266.68,301.10,311.64,326.49,304.22,311.75,381.34,415.12,417.94,385.74,389.62,340.29,303.29,272.06,224.60,193.42,217.91,278.28,338.33,412.00,453.78,427.84,395.61,354.52,301.55,268.46,242.57,200.36,160.08,230.25,390.42,447.99,484.09,414.89,371.93,371.46,325.15,340.92,286.75,231.03,229.63,285.52,395.07,402.04,396.85,375.80,366.19,399.06,430.63,434.09,379.15,364.74,405.54,407.57,388.56,363.76,365.05,351.92,346.04,377.79,376.41,369.96,340.31,290.40,272.61,267.48,406.62,462.30,570.67,547.60,503.03,404.00,334.53,253.15,247.77,193.54,178.50,215.23,437.92,585.26,592.95,544.90,,,,,,
 ???????,54.94,63.89,70.41,105.72,100.20,118.77,128.08,142.79,130.59,116.81,89.45,78.33,57.04,64.37,69.17,100.84,92.07,108.41,118.13,138.65,128.52,115.69,90.89,80.61,51.84,58.07,61.87,98.45,93.33,112.97,121.62,132.53,119.18,105.57,78.19,70.11,39.39,49.32,57.63,84.21,82.65,96.55,103.30,112.12,102.89,92.33,71.11,60.01,36.51,38.25,38.38,51.15,40.99,47.04,53.33,74.32,71.65,65.66,55.20,50.53,22.49,24.52,25.30,53.34,55.54,71.54,75.00,67.69,55.43,46.47,27.05,25.51,25.91,26.61,26.39,29.85,37.60,38.35,34.18,32.50,36.26,27.21,27.88,26.57,30.14,22.31,27.59,24.98,34.72,44.79,46.01,27.89,40.83,31.55,28.20,28.88,31.92,27.49,27.35,24.63,32.74,25.24,30.56,35.23,29.42,28.62,38.36,26.32,35.99,39.42,48.13,50.75,56.19,33.74,24.16,12.50,14.98,21.93,31.35,35.82,35.53,25.48,42.21,35.98,36.83,46.11,36.73,24.33,30.10,25.96,23.83,29.27,28.11,30.23,28.61,34.59,38.35,39.75,32.51,31.43,26.92,26.54,24.06,31.81,25.65,34.75,29.68,33.95,31.81,42.62,31.68,34.33,25.39,26.82,25.75,33.78,30.96,32.37,32.76,32.06,32.64,38.40,34.31,37.64,37.96,37.16,30.30,31.78,33.92,33.10,37.39,39.89,51.33,42.43,36.45,32.30,25.91,22.37,18.46,22.71,32.83,36.91,33.47,38.84,36.91,39.69,32.33,34.95,27.16,28.85,26.11,27.85,24.58,28.79,29.44,36.56,39.13,48.42,45.52,41.94,35.08,29.62,27.74,30.60,34.61,33.32,36.88,37.75,40.87,40.89,39.93,37.89,35.97,31.71,30.43,32.83,39.35,31.96,35.67,35.53,43.85,37.48,38.76,35.52,33.85,28.16,29.95,26.57,28.68,29.72,33.73,34.72,43.73,44.36,31.52,35.27,28.78,24.84,25.57,23.31,22.47,25.02,23.54,34.03,35.71,40.07,,,,,,
??????????,5.32,85.25,392.99,264.57,15.84,0.00,12.45,75.20,86.65,117.06,116.46,28.22,2.95,43.63,411.57,361.47,13.92,0.00,5.20,69.77,70.92,121.46,113.59,24.89,3.25,49.78,400.47,330.61,18.05,0.00,5.16,66.10,67.10,114.21,115.23,20.95,3.57,49.08,365.25,310.24,15.28,0.00,5.35,115.46,95.66,22.50,39.04,13.75,0.00,49.68,405.67,287.86,14.56,0.00,4.09,85.80,75.28,43.59,63.18,21.11,2.46,47.58,341.05,290.62,16.02,0.00,4.10,83.60,76.81,37.56,41.71,12.32,0.26,5.49,238.06,355.26,0.00,0.00,11.25,49.02,16.92,28.05,51.40,17.09,2.12,9.61,213.42,136.91,5.02,0.00,3.60,11.46,1.84,63.34,17.97,5.95,0.02,5.44,133.81,101.30,12.44,0.00,0.18,8.72,7.20,82.74,8.01,2.11,1.65,3.85,72.12,102.53,7.53,0.00,1.01,12.90,3.66,91.63,15.51,2.07,0.09,3.59,44.81,134.39,14.41,0.00,1.41,9.71,3.73,69.79,12.17,2.97,0.37,2.75,53.32,72.12,7.34,0.00,0.00,1.83,19.46,60.77,11.55,2.30,0.40,6.75,67.60,37.58,1.68,0.00,0.00,0.99,10.76,78.57,10.68,4.98,0.00,4.80,65.38,58.07,3.86,0.00,0.39,1.27,10.69,81.43,13.85,2.33,0.07,3.95,69.26,42.94,2.65,0.00,0.00,0.69,8.87,53.02,12.25,3.83,0.08,2.48,45.43,18.05,1.41,0.00,0.00,0.87,7.07,23.70,11.84,2.19,0.06,2.71,38.02,39.48,0.80,0.00,0.69,0.86,1.97,19.71,9.55,1.13,0.00,1.85,37.28,44.24,0.74,0.00,0.23,1.23,2.24,16.00,7.10,3.12,0.16,3.85,25.44,55.21,0.48,0.00,0.00,0.08,0.28,7.97,8.50,1.35,0.26,1.35,59.11,14.45,0.60,0.00,0.00,0.07,0.24,6.90,7.36,1.16,0.19,1.32,58.72,14.35,0.56,0.00,,,,,,
????????,24.18,33.99,129.74,163.14,51.97,11.22,33.05,228.60,191.62,129.71,121.19,81.59,25.37,32.01,120.29,155.52,68.32,11.61,38.13,308.35,188.96,87.02,104.67,76.08,2.41,22.61,121.73,188.45,19.84,5.58,18.81,200.10,197.11,116.21,79.32,68.91,13.23,14.89,85.73,133.60,33.32,3.74,24.57,203.66,171.85,94.42,89.00,62.87,11.25,19.35,93.18,144.92,33.72,5.60,30.95,174.12,153.62,90.99,74.87,67.69,12.93,17.73,69.89,101.86,23.42,4.93,26.73,185.88,152.81,85.82,81.50,65.85,11.86,21.46,83.53,124.85,32.10,6.84,26.81,190.58,166.96,95.52,81.82,75.07,2.52,15.61,70.34,106.74,24.90,4.39,27.38,184.96,164.22,95.23,78.89,75.90,2.79,16.62,72.87,109.31,25.55,4.64,23.35,167.93,149.33,86.09,71.45,67.10,2.54,15.34,69.85,105.80,24.83,4.27,20.20,141.57,125.19,72.12,60.49,56.78,2.75,16.67,74.62,112.73,26.37,4.66,19.05,132.88,117.90,68.10,56.67,53.72,2.41,14.46,64.63,97.48,22.83,4.03,17.80,125.89,111.67,64.41,53.68,50.53,2.65,15.91,71.61,108.23,25.35,4.45,17.70,124.22,110.10,63.50,53.02,49.98,2.29,13.77,61.75,93.24,21.84,3.85,17.48,125.14,111.02,61.98,51.63,49.85,2.03,12.46,65.49,98.53,9.65,3.76,12.51,116.69,101.30,60.34,48.10,41.26,1.87,10.64,61.41,94.84,8.26,2.59,10.75,114.87,99.81,57.70,45.85,39.01,1.75,10.35,54.60,82.52,7.85,2.39,10.19,89.18,78.02,45.02,36.38,32.55,1.69,10.08,54.71,83.15,7.76,2.65,9.78,93.60,81.46,47.62,38.04,32.93,1.85,10.93,59.98,91.56,8.39,2.68,9.54,92.39,80.47,46.68,37.32,32.42,1.82,10.75,58.02,88.12,8.23,2.65,9.43,88.12,76.82,44.61,35.77,31.36,1.75,10.35,56.29,85.62,7.94,2.59,,,,,,
1.6 ??????????????,42.35,0.12,0.00,0.00,0.00,0.00,0.00,0.00,25.50,164.69,557.29,410.05,79.85,0.25,0.00,0.00,0.00,0.00,0.00,0.00,14.59,83.78,216.18,167.15,29.68,0.16,0.00,0.00,0.00,0.00,0.00,0.00,8.03,45.58,122.07,86.49,14.35,0.08,0.00,0.00,0.00,0.00,0.00,0.00,4.02,24.43,74.60,55.25,10.33,0.08,0.00,0.00,0.00,0.00,0.00,0.00,6.48,37.87,103.05,76.90,10.33,0.08,0.00,0.00,0.00,0.00,0.00,0.00,6.48,37.87,103.05,76.90,10.33,0.08,0.00,0.00,0.00,0.00,0.00,0.00,6.48,37.87,103.05,76.90,10.33,0.08,0.00,0.00,0.00,0.00,0.00,0.00,6.48,37.87,103.05,76.90,10.33,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,
????,42.35,0.12,0.00,0.00,0.00,0.00,0.00,0.00,25.50,164.69,557.29,410.05,79.85,0.25,0.00,0.00,0.00,0.00,0.00,0.00,14.59,83.78,216.18,167.15,29.68,0.16,0.00,0.00,0.00,0.00,0.00,0.00,8.03,45.58,122.07,86.49,14.35,0.08,0.00,0.00,0.00,0.00,0.00,0.00,4.02,24.43,74.60,55.25,10.33,0.08,0.00,0.00,0.00,0.00,0.00,0.00,6.48,37.87,103.05,76.90,10.33,0.08,0.00,0.00,0.00,0.00,0.00,0.00,6.48,37.87,103.05,76.90,10.33,0.08,0.00,0.00,0.00,0.00,0.00,0.00,6.48,37.87,103.05,76.90,10.33,0.08,0.00,0.00,0.00,0.00,0.00,0.00,6.48,37.87,103.05,76.90,10.33,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,
    1.5 ??????????????,192.04,156.03,148.35,114.98,29.65,10.44,22.68,29.65,91.94,106.22,125.19,172.83,192.80,156.65,148.94,115.44,29.76,10.48,22.77,29.76,92.30,106.64,125.68,173.52,203.98,165.74,157.58,122.13,31.49,11.09,24.10,31.49,97.66,112.83,132.97,183.58,217.38,176.62,167.93,130.16,33.56,11.82,25.68,33.56,104.07,120.24,141.71,195.64,219.85,178.63,169.83,131.63,33.94,11.95,25.97,33.94,105.25,121.60,143.31,197.86,226.57,184.09,175.03,135.66,34.98,12.32,26.76,34.98,108.47,125.32,147.70,203.92,199.92,162.43,154.44,119.70,30.86,10.87,23.62,30.86,95.71,110.58,130.32,179.93,157.44,127.92,121.63,94.27,24.31,8.56,18.60,24.31,75.38,87.09,102.63,141.70,84.72,74.08,55.29,50.43,64.83,99.11,128.67,156.00,163.34,154.77,125.50,96.17,102.97,89.61,78.60,70.96,96.63,111.35,129.55,142.68,140.22,138.49,107.85,96.28,106.24,93.50,82.44,72.46,92.43,108.83,131.42,142.98,140.75,134.65,108.20,101.21,100.62,93.10,81.56,69.62,75.89,88.18,110.27,129.75,136.69,137.33,114.07,100.52,91.64,82.02,69.21,61.98,83.94,102.26,139.76,133.00,127.57,119.16,102.49,92.85,113.00,105.61,96.78,78.80,92.40,100.58,116.49,110.30,114.49,99.11,119.03,115.15,90.49,90.64,79.55,79.32,90.57,107.32,131.85,132.14,127.56,125.70,112.85,110.70,87.58,71.14,63.62,48.54,61.01,62.03,72.68,79.57,83.58,191.79,115.68,79.70,69.08,69.68,65.46,59.78,67.06,76.42,84.02,78.96,80.98,79.12,81.00,72.35,69.87,71.57,68.40,59.30,70.86,75.11,79.35,86.98,85.59,103.25,90.10,70.28,71.84,67.38,62.77,53.41,63.14,67.83,75.37,79.04,80.65,120.12,92.26,71.82,68.40,64.07,59.93,51.21,60.22,64.68,71.57,75.08,91.80,104.96,83.47,69.00,69.55,65.10,60.72,51.70,61.06,65.52,,,,,,
 ???????? ,192.04,156.03,148.35,114.98,29.65,10.44,22.68,29.65,91.94,106.22,125.19,172.83,192.80,156.65,148.94,115.44,29.76,10.48,22.77,29.76,92.30,106.64,125.68,173.52,203.98,165.74,157.58,122.13,31.49,11.09,24.10,31.49,97.66,112.83,132.97,183.58,217.38,176.62,167.93,130.16,33.56,11.82,25.68,33.56,104.07,120.24,141.71,195.64,219.85,178.63,169.83,131.63,33.94,11.95,25.97,33.94,105.25,121.60,143.31,197.86,226.57,184.09,175.03,135.66,34.98,12.32,26.76,34.98,108.47,125.32,147.70,203.92,199.92,162.43,154.44,119.70,30.86,10.87,23.62,30.86,95.71,110.58,130.32,179.93,157.44,127.92,121.63,94.27,24.31,8.56,18.60,24.31,75.38,87.09,102.63,141.70,84.72,74.08,55.29,50.43,64.83,99.11,128.67,156.00,163.34,154.77,125.50,96.17,102.97,89.61,78.60,70.96,96.63,111.35,129.55,142.68,140.22,138.49,107.85,96.28,106.24,93.50,82.44,72.46,92.43,108.83,131.42,142.98,140.75,134.65,108.20,101.21,100.62,93.10,81.56,69.62,75.89,88.18,110.27,129.75,136.69,137.33,114.07,100.52,91.64,82.02,69.21,61.98,83.94,102.26,139.76,133.00,127.57,119.16,102.49,92.85,113.00,105.61,96.78,78.80,92.40,100.58,116.49,110.30,114.49,99.11,119.03,115.15,90.49,90.64,79.55,79.32,90.57,107.32,131.85,132.14,127.56,125.70,112.85,110.70,87.58,71.14,63.62,48.54,61.01,62.03,72.68,79.57,83.58,191.79,115.68,79.70,69.08,69.68,65.46,59.78,67.06,76.42,84.02,78.96,80.98,79.12,81.00,72.35,69.87,71.57,68.40,59.30,70.86,75.11,79.35,86.98,85.59,103.25,90.10,70.28,71.84,67.38,62.77,53.41,63.14,67.83,75.37,79.04,80.65,120.12,92.26,71.82,68.40,64.07,59.93,51.21,60.22,64.68,71.57,75.08,91.80,104.96,83.47,69.00,69.55,65.10,60.72,51.70,61.06,65.52,,,,,,
2. ????????????,97.62,96.34,100.39,99.01,103.31,106.42,98.74,95.47,98.81,99.90,102.22,101.78,103.78,101.24,105.19,101.58,102.99,106.89,108.05,111.47,108.68,109.40,110.73,112.98,110.51,107.10,113.93,107.60,110.27,110.02,114.92,109.76,109.47,111.13,106.09,109.08,107.83,103.59,106.88,103.52,106.95,107.20,108.83,110.04,103.66,107.16,107.97,112.63,104.31,103.37,104.09,105.52,106.16,106.26,107.60,112.16,104.59,105.11,107.46,106.99,111.11,106.96,110.01,105.29,108.29,113.37,104.90,111.14,110.99,107.66,112.53,109.05,106.61,104.55,107.43,108.05,110.80,111.54,103.21,110.65,110.91,109.75,115.47,115.00,119.28,121.20,123.16,120.98,124.70,124.05,122.76,125.62,125.57,125.81,125.63,125.39,132.51,128.14,120.90,128.83,124.14,127.03,125.03,127.08,129.50,125.42,126.99,129.21,121.68,138.23,129.52,128.20,142.82,121.30,149.78,128.56,124.63,146.01,136.75,140.86,139.20,134.55,135.74,166.45,135.32,144.65,136.03,160.39,147.18,139.97,148.80,162.28,157.05,147.05,148.35,172.51,146.62,158.83,155.05,161.55,158.80,153.48,174.84,168.19,169.00,163.07,165.64,163.95,159.97,164.07,165.06,160.04,168.18,162.31,170.16,166.74,160.37,177.05,170.39,167.50,169.81,176.64,175.16,173.76,165.84,162.90,178.54,177.66,172.73,185.97,170.28,175.18,184.99,171.90,186.92,176.41,175.36,186.47,181.75,183.76,171.81,182.44,171.11,176.15,188.76,172.31,189.81,175.12,175.39,183.94,182.53,186.46,171.03,181.70,171.23,174.01,181.08,168.16,182.86,169.12,165.42,165.71,160.22,163.98,166.68,179.51,168.01,169.91,178.69,164.06,182.54,168.36,166.53,179.08,173.69,177.87,174.75,188.62,178.84,183.93,194.32,180.13,199.73,187.38,186.80,204.47,199.76,205.63,197.43,209.14,198.59,201.76,208.64,194.00,214.13,201.33,197.85,212.12,205.21,213.11,201.03,213.82,204.35,194.32,209.59,194.66,,,,,,
 ????,94.71,89.06,97.14,97.97,105.05,116.05,98.49,99.43,98.36,99.59,106.27,97.87,107.41,105.84,104.15,96.46,102.19,107.15,109.36,111.06,112.75,113.93,115.88,117.31,118.25,111.23,111.22,113.25,115.40,105.28,117.16,111.70,109.57,108.56,103.40,100.99,105.73,101.06,100.01,97.32,99.57,98.63,100.21,98.25,92.89,95.57,97.63,96.55,97.64,94.54,96.19,97.47,95.71,94.42,98.74,98.05,96.91,94.70,93.48,94.49,103.91,100.68,96.65,96.63,97.48,98.85,99.31,99.62,101.03,98.18,96.71,95.47,93.91,96.00,90.18,102.17,101.47,91.46,92.28,94.02,97.75,99.84,100.19,104.38,102.71,103.35,105.36,106.76,107.54,106.34,102.07,106.62,107.06,105.02,101.40,101.68,120.70,116.69,114.20,114.20,114.89,114.61,116.97,116.55,116.13,114.06,112.95,112.26,116.20,115.37,114.13,114.27,113.44,114.27,116.48,115.93,116.07,115.24,116.62,115.37,134.08,132.50,130.76,131.39,130.60,130.76,133.45,132.66,132.66,131.39,131.86,130.91,156.41,155.48,153.43,154.18,153.06,153.25,156.22,155.48,155.66,154.55,155.66,154.18,162.24,164.55,162.09,160.71,160.47,162.03,162.10,163.91,165.38,160.82,165.52,171.18,164.54,177.41,174.40,170.82,172.30,174.41,177.99,171.84,175.68,168.52,173.45,174.35,169.10,167.52,158.34,165.72,170.18,170.40,170.19,173.36,175.57,176.30,178.00,172.05,162.07,160.88,155.11,163.88,172.88,166.94,169.02,165.77,170.37,160.77,170.35,169.22,169.84,169.28,168.14,169.47,167.20,167.58,164.75,162.29,157.58,130.59,131.53,128.89,130.21,129.43,127.89,128.51,127.58,127.89,130.36,129.74,129.74,128.81,129.74,128.35,146.39,149.00,151.00,158.61,161.01,163.02,166.82,171.63,174.43,184.24,187.25,189.25,191.40,187.57,189.27,191.90,185.68,187.59,191.42,196.31,192.30,193.39,191.77,198.17,198.33,196.44,201.09,172.90,185.76,187.80,,,,,,
 ????????,103.92,104.28,102.12,99.72,103.68,94.68,99.48,87.00,99.60,99.48,96.12,109.92,97.09,92.70,98.96,104.45,98.55,101.65,107.68,114.68,106.55,105.69,104.96,114.96,102.80,101.05,114.91,97.29,100.92,113.55,116.49,106.91,107.09,114.28,99.70,117.13,109.01,108.62,107.79,106.05,110.96,114.81,116.84,121.76,108.87,115.42,111.76,120.11,106.65,107.67,100.82,109.41,111.64,110.36,114.38,128.72,108.51,111.61,117.80,119.32,119.57,111.22,119.32,110.02,116.44,131.84,106.05,124.65,121.39,115.57,127.56,122.06,122.45,113.91,122.21,112.67,119.23,135.01,108.58,127.66,124.33,118.38,130.62,124.97,141.82,147.68,143.93,139.69,147.69,147.65,147.69,148.69,148.08,151.35,152.01,151.90,159.20,150.97,126.50,154.74,137.72,147.19,137.08,142.60,150.97,141.23,144.45,153.27,131.12,184.60,152.32,152.24,195.39,128.91,212.18,146.18,133.80,200.14,166.82,181.30,150.85,144.13,138.53,236.54,137.83,169.04,139.57,216.35,178.79,155.78,180.63,225.30,172.16,148.78,144.60,224.72,142.96,182.80,164.84,187.52,178.75,163.82,225.38,206.21,197.84,182.54,181.12,182.58,166.43,179.94,183.53,166.64,192.98,178.31,194.46,178.64,161.99,202.92,174.32,177.79,178.91,199.97,188.28,193.87,164.07,164.54,202.49,198.31,193.72,224.67,191.21,204.29,224.92,187.43,234.98,196.49,192.71,230.20,210.83,224.41,197.20,230.76,196.69,208.56,231.79,191.52,242.63,201.33,196.69,237.21,216.56,230.24,198.32,229.74,196.00,208.88,230.00,192.39,240.30,201.41,197.55,235.41,216.09,229.48,217.37,252.75,215.39,228.98,253.32,210.86,264.92,221.05,216.52,259.26,237.47,252.47,222.34,258.86,220.60,234.51,259.44,215.96,271.33,226.39,221.76,265.53,243.21,258.86,231.45,269.12,229.34,244.11,269.42,224.82,281.78,235.37,230.85,275.75,252.85,268.82,233.88,271.94,231.75,246.36,272.55,226.87,,,,,,
